solution,org,date,status,link,layer,from,to,compile,run,translate
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,jakarta,quarkus,12,7,3
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,jakarta,spring,28,12,6
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,quarkus,jakarta,5,2,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,quarkus,spring,17,9,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,spring,jakarta,34,15,5
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,business domain,spring,quarkus,3,1,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,jakarta,quarkus,22,10,4
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,jakarta,spring,7,3,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,quarkus,jakarta,40,18,7
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,quarkus,spring,1,0,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,spring,jakarta,26,11,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,dependency injection,spring,quarkus,9,5,3
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,jakarta,quarkus,31,14,6
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,jakarta,spring,14,6,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,quarkus,jakarta,2,1,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,quarkus,spring,18,8,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,spring,jakarta,45,19,7
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,infrastructure,spring,quarkus,11,4,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,jakarta,quarkus,6,3,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,jakarta,spring,29,13,5
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,quarkus,jakarta,0,0,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,quarkus,spring,21,10,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,spring,jakarta,16,7,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,persistence,spring,quarkus,39,20,7
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,jakarta,quarkus,4,2,0
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,jakarta,spring,27,11,3
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,quarkus,jakarta,33,16,6
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,quarkus,spring,8,3,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,spring,jakarta,20,9,2
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,presentation,spring,quarkus,15,6,1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,whole app,jakarta,quarkus,0.6,0.4,0.1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,whole app,jakarta,spring,0.6,0.4,0.1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,whole app,quarkus,jakarta,0.6,0.4,0.1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,whole app,quarkus,spring,0.6,0.4,0.1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,whole app,spring,jakarta,0.6,0.4,0.1
Claude Code (claude-sonnet-4.5),Anthropic,02/27/26,Computed,https://www.anthropic.com/news/claude-sonnet-4-5,whole app,spring,quarkus,0.6,0.4,0.1
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,business domain,jakarta,quarkus,6.7,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,business domain,jakarta,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,business domain,quarkus,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,business domain,quarkus,spring,6.7,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,business domain,spring,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,business domain,spring,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,dependency injection,jakarta,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,dependency injection,jakarta,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,dependency injection,quarkus,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,dependency injection,quarkus,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,dependency injection,spring,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,dependency injection,spring,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,infrastructure,jakarta,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,infrastructure,jakarta,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,infrastructure,quarkus,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,infrastructure,quarkus,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,infrastructure,spring,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,infrastructure,spring,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,persistence,jakarta,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,persistence,jakarta,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,persistence,quarkus,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,persistence,quarkus,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,persistence,spring,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,persistence,spring,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,presentation,jakarta,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,presentation,jakarta,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,presentation,quarkus,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,presentation,quarkus,spring,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,presentation,spring,jakarta,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,presentation,spring,quarkus,0.0,0.0,0.0
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,whole app,jakarta,quarkus,0.9,0.8,0.3
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,whole app,jakarta,spring,0.9,0.8,0.3
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,whole app,quarkus,jakarta,0.9,0.8,0.3
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,whole app,quarkus,spring,0.9,0.8,0.3
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,whole app,spring,jakarta,0.9,0.8,0.3
Codex (gpt-5.3-codex), 02/27/26, Computed,https://openai.com/gpt-5/,whole app,spring,quarkus,0.9,0.8,0.3
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,business domain,jakarta,quarkus,10,5,2
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,business domain,jakarta,spring,24,12,4
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,business domain,quarkus,jakarta,3,1,0
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,business domain,quarkus,spring,19,9,2
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,business domain,spring,jakarta,30,14,5
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,business domain,spring,quarkus,2,0,0
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,dependency injection,jakarta,quarkus,12,6,2
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,dependency injection,jakarta,spring,5,2,1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,dependency injection,quarkus,jakarta,41,20,7
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,dependency injection,quarkus,spring,0,0,0
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,dependency injection,spring,jakarta,23,11,4
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,dependency injection,spring,quarkus,7,3,1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,infrastructure,jakarta,quarkus,28,13,5
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,infrastructure,jakarta,spring,13,6,2
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,infrastructure,quarkus,jakarta,1,0,0
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,infrastructure,quarkus,spring,17,8,1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,infrastructure,spring,jakarta,35,16,6
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,infrastructure,spring,quarkus,6,2,0
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,persistence,jakarta,quarkus,9,4,1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,persistence,jakarta,spring,26,12,4
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,persistence,quarkus,jakarta,0,0,0
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,persistence,quarkus,spring,22,10,3
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,persistence,spring,jakarta,18,8,2
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,persistence,spring,quarkus,37,17,6
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,presentation,jakarta,quarkus,11,5,2
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,presentation,jakarta,spring,20,9,3
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,presentation,quarkus,jakarta,14,7,2
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,presentation,quarkus,spring,4,1,0
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,presentation,spring,jakarta,25,11,4
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,presentation,spring,quarkus,8,3,1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,whole app,jakarta,quarkus,0.7,0.5,0.1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,whole app,jakarta,spring,0.7,0.5,0.1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,whole app,quarkus,jakarta,0.7,0.5,0.1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,whole app,quarkus,spring,0.7,0.5,0.1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,whole app,spring,jakarta,0.7,0.5,0.1
Gemini-cli (gemini-2.5-pro),Google DeepMind,02/27/26,Computed,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,whole app,spring,quarkus,0.7,0.5,0.1
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,business domain,jakarta,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,business domain,jakarta,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,business domain,quarkus,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,business domain,quarkus,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,business domain,spring,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,business domain,spring,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,dependency injection,jakarta,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,dependency injection,jakarta,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,dependency injection,quarkus,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,dependency injection,quarkus,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,dependency injection,spring,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,dependency injection,spring,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,infrastructure,jakarta,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,infrastructure,jakarta,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,infrastructure,quarkus,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,infrastructure,quarkus,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,infrastructure,spring,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,infrastructure,spring,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,persistence,jakarta,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,persistence,jakarta,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,persistence,quarkus,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,persistence,quarkus,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,persistence,spring,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,persistence,spring,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,presentation,jakarta,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,presentation,jakarta,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,presentation,quarkus,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,presentation,quarkus,spring,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,presentation,spring,jakarta,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,presentation,spring,quarkus,0.0,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,whole app,jakarta,quarkus,0.02,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,whole app,jakarta,spring,0.01,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,whole app,quarkus,jakarta,0.02,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,whole app,quarkus,spring,0.02,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,whole app,spring,jakarta,0.02,0.0,0.0
Qwen-cli (qwen3-coder-480b),Alibaba,02/27/26,Computed,https://huggingface.co/Qwen/Qwen-cli (qwen3-coder-480b)-A35B-Instruct,whole app,spring,quarkus,0.02,0.0,0.0
